doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
reebelo-terms-of-service,data/e_comercial/reebelo-terms-of-service.md,Reebelo Terms of Service,https://reebelo.com/policies/terms-of-service,2026-09-20,not-stated,public-source
shopee-returns-buyer,data/e_comercial/shopee-returns-buyer.md,Quy định Hủy đơn hàng, Trả hàng và Hoàn tiền Shopee dành cho Người Mua,https://help.shopee.vn/portal/4/article/77243,2026-09-20,2026-05-01,public-source
shopee-returns-seller,data/e_comercial/shopee-returns-seller.md,Quy định Trả hàng, Hoàn tiền, Phí và Thanh toán Shopee dành cho Người Bán,https://help.shopee.vn/portal/4/article/77243,2026-09-20,2026-05-01,public-source
trang-bao-tri-bao-hanh-doi-tra,data/e_comercial/trang-bao-tri-bao-hanh-doi-tra.md,Bảo trì - Bảo hành - Đổi trả Điện Máy Chợ Lớn,https://dienmaycholon.com/trang-bao-tri-bao-hanh-doi-tra,2026-09-20,2026-08-01,public-source
refurbed-return-policy,data/e_comercial/refurbed-return-policy.md,Refurbed Return and Trial Policy,https://www.refurbed.at/en-at/how-to-return-your-product/,2026-09-20,not-stated,public-source
revibe-seller-guidelines,data/e_comercial/revibe-seller-guidelines.md,Revibe Seller Guidelines,https://revibe.ae/pages/become-a-seller,2026-09-20,not-stated,public-source
revibe-terms-and-warranty,data/e_comercial/revibe-terms-and-warranty.md,Revibe Terms and Warranty Policy,https://revibe.ae/pages/terms-and-conditions,2026-09-20,not-stated,public-source
tamara-customer-terms,data/e_comercial/tamara-customer-terms.md,Tamara Customer Terms and Conditions,https://tamara.co/en-sa/terms-and-conditions,2026-09-20,not-stated,public-source
reveni-terms-of-use,data/e_comercial/reveni-terms-of-use.md,Reveni Legal Notice and Terms of Use,https://www.reveni.com/legal/legal,2026-09-20,not-stated,public-source
newegg-return-policy,data/e_comercial/newegg-return-policy.md,Newegg Standard Return Policy,https://www.newegg.com/promotions/nepro/22-0073/index.html,2026-09-20,not-stated,public-source
