url,doc_id,title,audience,category,language,document_version,license_or_permission
https://help.shopee.vn/portal/4/article/77243,shopee-returns-buyer,Quy định Hủy đơn hàng Trả hàng và Hoàn tiền Shopee dành cho Người Mua,buyer,returns-policy,vi,2026-05-01,public-source
https://help.shopee.vn/portal/4/article/77243,shopee-returns-seller,Quy định Trả hàng Hoàn tiền Phí và Thanh toán Shopee dành cho Người Bán,seller,seller-policy,vi,2026-05-01,public-source
https://reebelo.com/policies/terms-of-service,reebelo-terms-of-service,Reebelo Terms of Service,both,terms-of-service,en,not-stated,public-source
https://dienmaycholon.com/trang-bao-tri-bao-hanh-doi-tra,trang-bao-tri-bao-hanh-doi-tra,Bảo trì - Bảo hành - Đổi trả Điện Máy Chợ Lớn,buyer,warranty-returns-policy,vi,2026-08-01,public-source
https://www.refurbed.at/en-at/how-to-return-your-product/,refurbed-return-policy,Refurbed Return and Trial Policy,buyer,returns-policy,en,not-stated,public-source
https://revibe.ae/pages/become-a-seller,revibe-seller-guidelines,Revibe Seller Guidelines,seller,seller-policy,en,not-stated,public-source
https://revibe.ae/pages/terms-and-conditions,revibe-terms-and-warranty,Revibe Terms and Warranty Policy,buyer,warranty-policy,en,not-stated,public-source
https://tamara.co/en-sa/terms-and-conditions,tamara-customer-terms,Tamara Customer Terms and Conditions,buyer,payment-policy,en,not-stated,public-source
https://www.reveni.com/legal/legal,reveni-terms-of-use,Reveni Legal Notice and Terms of Use,buyer,terms-of-use,en,not-stated,public-source
https://www.newegg.com/promotions/nepro/22-0073/index.html,newegg-return-policy,Newegg Standard Return Policy,buyer,returns-policy,en,not-stated,public-source
